time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
15-04-2023-14-07-07,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=104,1,1,0%,104.315/104.315/104.315/0.000
15-04-2023-14-07-12,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=85.7,1,1,0%,85.683/85.683/85.683/0.000
15-04-2023-14-07-17,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=110,1,1,0%,110.395/110.395/110.395/0.000
15-04-2023-14-07-22,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=55.2,1,1,0%,55.189/55.189/55.189/0.000
15-04-2023-14-07-27,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=30.0,1,1,0%,30.007/30.007/30.007/0.000
15-04-2023-14-07-32,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=107,1,1,0%,107.491/107.491/107.491/0.000
15-04-2023-14-07-37,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=83.1,1,1,0%,83.058/83.058/83.058/0.000
15-04-2023-14-07-42,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=51.1,1,1,0%,51.129/51.129/51.129/0.000
15-04-2023-14-07-47,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=21.5,1,1,0%,21.524/21.524/21.524/0.000
15-04-2023-14-07-53,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=93.3,1,1,0%,93.349/93.349/93.349/0.000
15-04-2023-14-07-58,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=115,1,1,0%,114.576/114.576/114.576/0.000
15-04-2023-14-08-03,google.com,(142.250.74.110),5.0,icmp_seq=1,ttl=111,time=121,1,1,0%,121.116/121.116/121.116/0.000
