time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
23-05-2023-10-02-41,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=93.0,ms,packets,"received,",packet,ms
23-05-2023-10-02-51,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=165,ms,packets,"received,",packet,ms
23-05-2023-10-03-01,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=94.4,ms,packets,"received,",packet,ms
23-05-2023-10-03-12,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=89.3,ms,packets,"received,",packet,ms
23-05-2023-10-03-22,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=101,ms,packets,"received,",packet,ms
23-05-2023-10-03-32,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=90.8,ms,packets,"received,",packet,ms
23-05-2023-10-03-42,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=80.6,ms,packets,"received,",packet,ms
23-05-2023-10-03-52,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=156,ms,packets,"received,",packet,ms
23-05-2023-10-04-02,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=82.9,ms,packets,"received,",packet,ms
23-05-2023-10-04-12,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=84.4,ms,packets,"received,",packet,ms
23-05-2023-10-04-22,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=82.7,ms,packets,"received,",packet,ms
23-05-2023-10-04-32,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=69.7,ms,packets,"received,",packet,ms
23-05-2023-10-04-43,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=93.6,ms,packets,"received,",packet,ms
23-05-2023-10-04-53,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=139,ms,packets,"received,",packet,ms
23-05-2023-10-05-03,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=75.0,ms,packets,"received,",packet,ms
23-05-2023-10-05-13,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=88.8,ms,packets,"received,",packet,ms
23-05-2023-10-05-23,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=81.9,ms,packets,"received,",packet,ms
23-05-2023-10-05-33,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=76.9,ms,packets,"received,",packet,ms
23-05-2023-10-05-43,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=96.7,ms,packets,"received,",packet,ms
23-05-2023-10-05-53,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.0,ms,packets,"received,",packet,ms
23-05-2023-10-06-04,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=92.6,ms,packets,"received,",packet,ms
23-05-2023-10-06-14,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=84.8,ms,packets,"received,",packet,ms
23-05-2023-10-06-24,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=76.7,ms,packets,"received,",packet,ms
23-05-2023-10-06-34,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=80.9,ms,packets,"received,",packet,ms
23-05-2023-10-06-44,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=92.5,ms,packets,"received,",packet,ms
23-05-2023-10-06-54,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=99.2,ms,packets,"received,",packet,ms
23-05-2023-10-07-04,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=109,ms,packets,"received,",packet,ms
23-05-2023-10-07-14,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=94.3,ms,packets,"received,",packet,ms
23-05-2023-10-07-24,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=80.1,ms,packets,"received,",packet,ms
23-05-2023-10-07-35,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=92.5,ms,packets,"received,",packet,ms
23-05-2023-10-07-45,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=75.5,ms,packets,"received,",packet,ms
23-05-2023-10-07-55,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=76.4,ms,packets,"received,",packet,ms
23-05-2023-10-08-05,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=79.1,ms,packets,"received,",packet,ms
23-05-2023-10-08-15,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=83.2,ms,packets,"received,",packet,ms
23-05-2023-10-08-25,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.9,ms,packets,"received,",packet,ms
23-05-2023-10-08-35,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=81.9,ms,packets,"received,",packet,ms
23-05-2023-10-08-45,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=76.1,ms,packets,"received,",packet,ms
23-05-2023-10-08-55,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=84.8,ms,packets,"received,",packet,ms
23-05-2023-10-09-06,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=92.7,ms,packets,"received,",packet,ms
23-05-2023-10-09-16,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=97.0,ms,packets,"received,",packet,ms
23-05-2023-10-09-26,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=99.7,ms,packets,"received,",packet,ms
23-05-2023-10-09-36,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=105,ms,packets,"received,",packet,ms
23-05-2023-10-09-46,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=100,ms,packets,"received,",packet,ms
23-05-2023-10-09-56,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=83.6,ms,packets,"received,",packet,ms
23-05-2023-10-10-06,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=73.5,ms,packets,"received,",packet,ms
23-05-2023-10-10-16,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=69.8,ms,packets,"received,",packet,ms
23-05-2023-10-10-26,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=94.7,ms,packets,"received,",packet,ms
23-05-2023-10-10-37,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=110,ms,packets,"received,",packet,ms
23-05-2023-10-10-47,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=94.8,ms,packets,"received,",packet,ms
23-05-2023-10-10-57,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=83.9,ms,packets,"received,",packet,ms
23-05-2023-10-11-07,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.7,ms,packets,"received,",packet,ms
23-05-2023-10-11-17,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=87.5,ms,packets,"received,",packet,ms
23-05-2023-10-11-27,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=114,ms,packets,"received,",packet,ms
23-05-2023-10-11-37,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=79.4,ms,packets,"received,",packet,ms
23-05-2023-10-11-47,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=79.6,ms,packets,"received,",packet,ms
23-05-2023-10-11-58,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=89.9,ms,packets,"received,",packet,ms
23-05-2023-10-12-08,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=83.8,ms,packets,"received,",packet,ms
23-05-2023-10-12-18,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=84.1,ms,packets,"received,",packet,ms
23-05-2023-10-12-28,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=81.8,ms,packets,"received,",packet,ms
23-05-2023-10-12-38,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.9,ms,packets,"received,",packet,ms
23-05-2023-10-12-48,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.9,ms,packets,"received,",packet,ms
23-05-2023-10-12-58,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=91.7,ms,packets,"received,",packet,ms
23-05-2023-10-13-08,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=115,ms,packets,"received,",packet,ms
23-05-2023-10-13-18,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=88.2,ms,packets,"received,",packet,ms
23-05-2023-10-13-29,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=81.2,ms,packets,"received,",packet,ms
23-05-2023-10-13-39,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=91.0,ms,packets,"received,",packet,ms
23-05-2023-10-13-49,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=75.8,ms,packets,"received,",packet,ms
23-05-2023-10-13-59,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.9,ms,packets,"received,",packet,ms
23-05-2023-10-14-09,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=70.8,ms,packets,"received,",packet,ms
23-05-2023-10-14-19,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=74.9,ms,packets,"received,",packet,ms
23-05-2023-10-14-29,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=75.3,ms,packets,"received,",packet,ms
23-05-2023-10-14-39,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=98.2,ms,packets,"received,",packet,ms
23-05-2023-10-14-50,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=208,ms,packets,"received,",packet,ms
23-05-2023-10-15-00,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=93.4,ms,packets,"received,",packet,ms
23-05-2023-10-15-10,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=90.0,ms,packets,"received,",packet,ms
23-05-2023-10-15-20,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=83.7,ms,packets,"received,",packet,ms
23-05-2023-10-15-30,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=97.7,ms,packets,"received,",packet,ms
23-05-2023-10-15-40,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=71.2,ms,packets,"received,",packet,ms
23-05-2023-10-15-50,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=189,ms,packets,"received,",packet,ms
23-05-2023-10-16-01,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=102,ms,packets,"received,",packet,ms
23-05-2023-10-16-11,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=75.7,ms,packets,"received,",packet,ms
23-05-2023-10-16-21,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=87.1,ms,packets,"received,",packet,ms
23-05-2023-10-16-31,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=75.1,ms,packets,"received,",packet,ms
23-05-2023-10-16-41,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=97.8,ms,packets,"received,",packet,ms
23-05-2023-10-16-51,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=268,ms,packets,"received,",packet,ms
23-05-2023-10-17-01,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=97.0,ms,packets,"received,",packet,ms
23-05-2023-10-17-11,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=92.2,ms,packets,"received,",packet,ms
23-05-2023-10-17-22,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=98.2,ms,packets,"received,",packet,ms
23-05-2023-10-17-32,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=81.0,ms,packets,"received,",packet,ms
23-05-2023-10-17-42,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=110,ms,packets,"received,",packet,ms
23-05-2023-10-17-52,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=221,ms,packets,"received,",packet,ms
23-05-2023-10-18-02,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=80.5,ms,packets,"received,",packet,ms
23-05-2023-10-18-12,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=91.2,ms,packets,"received,",packet,ms
23-05-2023-10-18-22,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=78.2,ms,packets,"received,",packet,ms
23-05-2023-10-18-33,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=86.7,ms,packets,"received,",packet,ms
23-05-2023-10-18-43,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=83.2,ms,packets,"received,",packet,ms
23-05-2023-10-18-53,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=79.1,ms,packets,"received,",packet,ms
23-05-2023-10-19-03,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=88.7,ms,packets,"received,",packet,ms
23-05-2023-10-19-13,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=96.9,ms,packets,"received,",packet,ms
23-05-2023-10-19-23,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=88.7,ms,packets,"received,",packet,ms
23-05-2023-10-19-33,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=102,ms,packets,"received,",packet,ms
23-05-2023-10-19-43,130.225.57.224,(130.225.57.224),10.0,ttl=46,time=99.8,ms,packets,"received,",packet,ms
