time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
15-02-2023-09-48-16,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=28.6,1,1,0%,28.587/28.587/28.587/0.000
15-02-2023-09-48-17,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=48.1,1,1,0%,48.103/48.103/48.103/0.000
15-02-2023-09-48-18,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=49.5,1,1,0%,49.529/49.529/49.529/0.000
15-02-2023-09-48-19,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=40.9,1,1,0%,40.892/40.892/40.892/0.000
15-02-2023-09-48-20,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=54.2,1,1,0%,54.232/54.232/54.232/0.000
15-02-2023-09-48-21,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=46.2,1,1,0%,46.152/46.152/46.152/0.000
15-02-2023-09-48-22,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=36.4,1,1,0%,36.353/36.353/36.353/0.000
15-02-2023-09-48-23,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=49.7,1,1,0%,49.728/49.728/49.728/0.000
15-02-2023-09-48-24,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=36.7,1,1,0%,36.693/36.693/36.693/0.000
15-02-2023-09-48-25,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=45.7,1,1,0%,45.676/45.676/45.676/0.000
15-02-2023-09-48-26,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=52.3,1,1,0%,52.323/52.323/52.323/0.000
15-02-2023-09-48-27,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=43.3,1,1,0%,43.262/43.262/43.262/0.000
15-02-2023-09-48-28,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=26.7,1,1,0%,26.706/26.706/26.706/0.000
15-02-2023-09-48-29,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=35.1,1,1,0%,35.106/35.106/35.106/0.000
15-02-2023-09-48-30,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=33.6,1,1,0%,33.591/33.591/33.591/0.000
15-02-2023-09-48-32,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=30.6,1,1,0%,30.582/30.582/30.582/0.000
15-02-2023-09-48-33,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=38.9,1,1,0%,38.863/38.863/38.863/0.000
15-02-2023-09-48-34,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=87.7,1,1,0%,87.741/87.741/87.741/0.000
15-02-2023-09-48-35,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=36.1,1,1,0%,36.058/36.058/36.058/0.000
15-02-2023-09-48-36,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=25.3,1,1,0%,25.273/25.273/25.273/0.000
15-02-2023-09-48-37,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=34.7,1,1,0%,34.664/34.664/34.664/0.000
15-02-2023-09-48-38,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=31.0,1,1,0%,31.037/31.037/31.037/0.000
15-02-2023-09-48-39,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=37.2,1,1,0%,37.220/37.220/37.220/0.000
15-02-2023-09-48-40,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=20.8,1,1,0%,20.809/20.809/20.809/0.000
15-02-2023-09-48-41,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=39.4,1,1,0%,39.355/39.355/39.355/0.000
15-02-2023-09-48-42,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=33.5,1,1,0%,33.475/33.475/33.475/0.000
15-02-2023-09-48-43,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=39.4,1,1,0%,39.356/39.356/39.356/0.000
