time,ping,download,upload
15-02-2023-10-17-37,59.861ms,64.12Mbit/s,16.52Mbit/s
15-02-2023-10-18-02,58.705ms,74.38Mbit/s,22.76Mbit/s
15-02-2023-10-18-28,77.012ms,51.01Mbit/s,17.44Mbit/s
15-02-2023-10-18-51,47.972ms,110.34Mbit/s,28.05Mbit/s
15-02-2023-10-19-17,65.184ms,46.44Mbit/s,18.49Mbit/s
-,-,-,-,-,-,-
15-02-2023-10-21-45,75.862ms,48.63Mbit/s,18.15Mbit/s
15-02-2023-10-22-10,65.169ms,48.04Mbit/s,24.43Mbit/s
15-02-2023-10-22-34,47.14ms,117.25Mbit/s,29.86Mbit/s
15-02-2023-10-23-08,53.232ms,41.48Mbit/s,10.86Mbit/s
